Link	Type	Score	CLR_score	ELNET_score	GENIE3_score	LLR_score	MI_score	NARROMI_score	PCOR_score	PEARSON_score	PLSNET_score	SPEARMAN_score	TIGRESS_score	irp_score
catalysis	0.0	0.282367447595561	0.4470315961247374	0.16959222252227923	0.002169457567528251	0.23242630385487528	0.5460789248444164	0.40522305203123965	0.032252538821304896	0.7614399885505959	0.009524586206545033	0.827150215124938	0.010012594458438287	0.21758637552686932
catalysis	0.0	0.04562268803945746	0.19629986896904947	0.07939508506616255	0.04814558473400191	0.33616780045351474	0.16727632045908436	0.22009287112865625	0.1687719212227357	0.49949720544148	0.12095535474003341	0.6266767851232831	0.0006926952141057933	0.06456979773908678
catalysis	0.0	0.13316892725030824	0.3544736711669635	0.019443694301917367	0.46090047744052137	0.0810657596371882	0.7887938133090864	0.6141862546933765	0.09531884604183795	0.9015370071860077	0.10530148251441523	0.7458565178719179	0.04697732997481108	0.4717566969656981
binding	1.0	0.686806411837238	0.37296288812041123	0.5595463137996218	0.032456135178417535	0.14172335600907032	0.362053168614698	0.2954112570544687	0.03225826305240035	0.8148058874041489	0.021006262044579675	0.8689819315737216	0.05358942065491183	0.2360892256022935
catalysis	1.0	0.6757090012330456	0.37296288812041123	0.5595463137996218	0.032456135178417535	0.16865079365079366	0.362053168614698	0.14509057781911008	0.03225826305240035	0.8148058874041489	0.021006262044579675	0.8689819315737216	0.05358942065491183	0.2360892256022935
reaction	1.0	0.6757090012330456	0.37296288812041123	0.5595463137996218	0.032456135178417535	0.16865079365079366	0.362053168614698	0.14509057781911008	0.03225826305240035	0.8148058874041489	0.021006262044579675	0.8689819315737216	0.05358942065491183	0.2360892256022935
regulation	0.0	0.013563501849568421	0.38296750152827086	0.10207939508506617	0.12400627114675201	0.22675736961451254	0.44263184874709766	0.35010454328344986	0.1770638788381529	0.7028032208981757	0.18873959130320223	0.6756112444150256	0.026952141057934507	0.21279700683862857
catalysis	0.0	0.03575832305795315	0.38296750152827086	0.15365919524709695	0.09648384405771042	0.26558956916099774	0.44263184874709766	0.35010454328344986	0.1770638788381529	0.7028032208981757	0.18873959130320223	0.6756112444150256	0.026952141057934507	0.21279700683862857
catalysis	1.0	0.07644882860665844	0.32367567869838354	0.07399405887118553	0.227119213255137	0.06349206349206349	0.3220479728334867	0.3967646937878198	0.1136871719585189	0.7532239111767277	0.04920043031877076	0.8571423030779414	0.04748110831234256	0.3184063382158502
binding	1.0	0.07644882860665844	0.32367567869838354	0.07399405887118553	0.227119213255137	0.06349206349206349	0.3220479728334867	0.3967646937878198	0.1136871719585189	0.7532239111767277	0.04920043031877076	0.8571423030779414	0.04748110831234256	0.3184063382158502
reaction	1.0	0.07644882860665844	0.32367567869838354	0.07399405887118553	0.227119213255137	0.06349206349206349	0.3220479728334867	0.3967646937878198	0.1136871719585189	0.7532239111767277	0.04920043031877076	0.8571423030779414	0.04748110831234256	0.3184063382158502
binding	1.0	0.3945745992601726	0.2287830897631911	0.5522549284364029	0.10822818788839032	0.1726190476190476	0.1293911889756656	0.1877935831617305	0.43668831694246385	0.36392722095843555	0.19647385504416043	0.6621943777924871	0.0021410579345088163	0.1493967361914298
catalysis	1.0	0.3945745992601726	0.2287830897631911	0.5522549284364029	0.10822818788839032	0.1726190476190476	0.1293911889756656	0.1877935831617305	0.43668831694246385	0.36392722095843555	0.19647385504416043	0.6621943777924871	0.0021410579345088163	0.1493967361914298
reaction	1.0	0.3945745992601726	0.2287830897631911	0.5522549284364029	0.10822818788839032	0.1726190476190476	0.1293911889756656	0.1877935831617305	0.43668831694246385	0.36392722095843555	0.19647385504416043	0.6621943777924871	0.0021410579345088163	0.1493967361914298
catalysis	0.0	0.6744759556103576	0.21513985742917532	0.88468809073724	0.0399371380951301	0.09920634920634921	0.11950760694842955	0.19282146664262645	0.12610014556934873	0.439739978005092	0.09779200315448132	0.6179955113354294	0.00025188916876574307	0.14843161759569035
catalysis	0.0	0.08877928483353884	0.41067590873332094	0.04158790170132325	0.0633258544688282	0.06349206349206349	0.37029683219714277	0.2657091703913177	0.2966818018206119	0.5839836394040286	0.07670946959269695	0.6795582181863313	0.040554156171284626	0.1774007001637855
catalysis	0.0	0.08754623921085078	0.41964600037873157	0.04266810694031866	0.05904092464710389	0.09183673469387757	0.2975419779689598	0.18351478721476536	0.09078077892375641	0.7713263984091355	0.022677813012196697	0.8887129219758397	0.20944584382871534	0.2159899192974558
